"","feature","gain"
"1","deep_features.2678",0.0118713769696417
"2","deep_features.2747",0.0112322333318946
"3","deep_features.2043",0.0109297267448212
"4","deep_features.1503",0.0107052968013487
"5","deep_features.3185",0.0106386448350208
"6","deep_features.3874",0.00936611426967526
"7","deep_features.3099",0.00924659664029061
"8","deep_features.2652",0.00902860551782801
"9","deep_features.547",0.00858159428206876
"10","deep_features.1335",0.00785781840916677
"11","deep_features.2969",0.00777982474773737
"12","deep_features.2300",0.00758433797594059
"13","deep_features.1709",0.00585743581156653
"14","deep_features.1517",0.00538710250768949
"15","deep_features.1105",0.0049354138478414
"16","deep_features.1455",0.0048841179848041
"17","deep_features.4092",0.00481281306182949
"18","deep_features.2355",0.00473498510582849
"19","deep_features.2905",0.00468720718198197
"20","deep_features.946",0.00466173916383763
"21","deep_features.2587",0.00456410377774678
"22","deep_features.1989",0.0041060548127813
"23","deep_features.3535",0.00400938401352408
"24","deep_features.1489",0.00400733962280113
"25","deep_features.1556",0.0036788620757167
"26","deep_features.2530",0.0036419330027795
"27","deep_features.42",0.00361935984552367
"28","deep_features.3361",0.00361073196518444
"29","deep_features.2486",0.00346767814519872
"30","deep_features.1844",0.00346230741218658
"31","deep_features.3604",0.00341246917436109
"32","deep_features.846",0.00339454275979837
"33","deep_features.1431",0.00332648818763914
"34","deep_features.924",0.00331270512080207
"35","deep_features.3902",0.00325907235812347
"36","deep_features.237",0.00323785177142699
"37","deep_features.416",0.003232943460126
"38","deep_features.1850",0.00322655079066712
"39","deep_features.1604",0.00318704357428719
"40","deep_features.3041",0.00309621020184633
"41","deep_features.1438",0.00305470150986026
"42","deep_features.1813",0.00304003068913624
"43","deep_features.2770",0.00302256093543188
"44","deep_features.519",0.00292866440752679
"45","deep_features.1819",0.00292519663306531
"46","deep_features.2444",0.00292508737104846
"47","deep_features.1966",0.00288622750622692
"48","deep_features.3187",0.0028484877712642
"49","deep_features.605",0.00284375099097308
"50","deep_features.690",0.00264816557266346
"51","deep_features.672",0.00263878308533815
"52","deep_features.971",0.00262345222623388
"53","deep_features.3721",0.00260515951205422
"54","deep_features.3940",0.00257737899698207
"55","deep_features.3507",0.0025242748734573
"56","deep_features.3852",0.00251950877107279
"57","deep_features.4059",0.00251806875206274
"58","deep_features.2869",0.00251583625978707
"59","deep_features.1319",0.00251529823497422
"60","deep_features.3566",0.00248802169742768
"61","deep_features.3551",0.00242097184388552
"62","deep_features.2098",0.00240319922467354
"63","deep_features.1247",0.00239697724475165
"64","deep_features.2023",0.00238584158104808
"65","deep_features.3274",0.00237624438868136
"66","deep_features.1445",0.00229573051598049
"67","deep_features.1676",0.00223604257919602
"68","deep_features.3957",0.00223101516711836
"69","deep_features.3787",0.00222275747011704
"70","deep_features.32",0.00221189554401375
"71","deep_features.130",0.00220337938538133
"72","deep_features.1045",0.00220097426170819
"73","deep_features.3616",0.00219334035502465
"74","deep_features.1405",0.00218587221849821
"75","deep_features.2196",0.00214664456530004
"76","deep_features.953",0.00212586892357031
"77","deep_features.3033",0.00212399638750064
"78","deep_features.1002",0.00212017506497278
"79","deep_features.2974",0.0020979228972558
"80","deep_features.3160",0.00208780237348726
"81","deep_features.1623",0.00207545939038892
"82","deep_features.1603",0.00204316799812922
"83","deep_features.2272",0.00204244109501945
"84","deep_features.3281",0.00203670179688648
"85","deep_features.2703",0.00203318236893599
"86","deep_features.3379",0.0020284006022102
"87","deep_features.2257",0.00202668652195645
"88","deep_features.1832",0.00201391917761256
"89","deep_features.2924",0.00197365502401397
"90","deep_features.2193",0.00196962067939045
"91","deep_features.3537",0.00196435131149584
"92","deep_features.3922",0.0019504491438821
"93","deep_features.68",0.00192540160326234
"94","deep_features.1907",0.00190993617322617
"95","deep_features.2093",0.00190665171039487
"96","deep_features.3738",0.00190357748632585
"97","deep_features.3480",0.00188733757759793
"98","deep_features.1868",0.00188002019417413
"99","deep_features.3438",0.00187252001694962
"100","deep_features.1570",0.00186361522730464
"101","deep_features.403",0.00185541902255214
"102","deep_features.833",0.00185180677367027
"103","deep_features.2212",0.00183847764908687
"104","deep_features.1402",0.00183501570020686
"105","deep_features.1994",0.00182178205043084
"106","deep_features.2063",0.00181050916191937
"107","deep_features.620",0.00180162301413509
"108","deep_features.3350",0.00177519105644395
"109","deep_features.3117",0.00176353879312159
"110","deep_features.3560",0.00176032404308185
"111","deep_features.3767",0.0017602816457945
"112","deep_features.1532",0.00175990589578986
"113","deep_features.3140",0.0017497295758966
"114","deep_features.1969",0.00173923835096069
"115","deep_features.3892",0.00172911815083556
"116","deep_features.2584",0.0017271236011985
"117","deep_features.1928",0.00172561568180001
"118","deep_features.3220",0.00170800223041946
"119","deep_features.593",0.00170347704819297
"120","deep_features.1434",0.00168261208088073
"121","deep_features.337",0.00168055597426617
"122","deep_features.3977",0.00165257693632334
"123","deep_features.116",0.00164892235488281
"124","deep_features.2016",0.00163960498461258
"125","deep_features.2260",0.00162758396198333
"126","deep_features.2262",0.00161902890141244
"127","deep_features.2336",0.00161712568394705
"128","deep_features.2314",0.00160105866553135
"129","deep_features.2436",0.00158424098857924
"130","deep_features.632",0.0015840811087323
"131","deep_features.3645",0.00158302680794407
"132","deep_features.867",0.00157116158725474
"133","deep_features.495",0.00156523315191012
"134","deep_features.617",0.00156277203792621
"135","deep_features.548",0.0015568747370781
"136","deep_features.1091",0.00155661543397412
"137","deep_features.1806",0.00155264536493279
"138","deep_features.476",0.00154249383612511
"139","deep_features.2787",0.00153415807633212
"140","deep_features.3368",0.00152505178629706
"141","deep_features.1391",0.00152451039559269
"142","deep_features.1977",0.00151878760327387
"143","deep_features.544",0.00151648300324538
"144","deep_features.524",0.00150283204765025
"145","deep_features.2548",0.00149750740146038
"146","deep_features.931",0.0014964487638504
"147","deep_features.1223",0.0014701139639124
"148","deep_features.1900",0.00145933107153102
"149","deep_features.655",0.00145433324046148
"150","deep_features.3920",0.00145171159934379
"151","deep_features.21",0.00144474608104062
"152","deep_features.4055",0.00142101835826664
"153","deep_features.161",0.00142058720050937
"154","deep_features.2575",0.00141862281443857
"155","deep_features.1194",0.00141596304812662
"156","deep_features.1173",0.00141537938959227
"157","deep_features.792",0.00140312968052609
"158","deep_features.2126",0.00137823146897795
"159","deep_features.308",0.00137488680847148
"160","deep_features.650",0.00135228458803699
"161","deep_features.1046",0.0013432996642825
"162","deep_features.2704",0.00134309279141172
"163","deep_features.193",0.0013368173455977
"164","deep_features.71",0.00132822215324337
"165","deep_features.1716",0.00132350543884397
"166","deep_features.3006",0.00131487937090786
"167","deep_features.2999",0.00131448601470145
"168","deep_features.1509",0.00131248932901785
"169","deep_features.813",0.00129240071752917
"170","deep_features.372",0.00129171459348968
"171","deep_features.1652",0.00128639622598206
"172","deep_features.223",0.00128625790078656
"173","deep_features.3564",0.00128460660735529
"174","deep_features.2996",0.00128224808833388
"175","deep_features.3164",0.00128037801195417
"176","deep_features.1894",0.00127618055104956
"177","deep_features.1943",0.00127599866345041
"178","deep_features.705",0.00125605362018056
"179","deep_features.2574",0.00125464764845775
"180","deep_features.612",0.00125130164806755
"181","deep_features.3838",0.00124905250110175
"182","deep_features.1048",0.00124665003130461
"183","deep_features.874",0.00124081415797664
"184","deep_features.3451",0.00123908087919552
"185","deep_features.2500",0.00123835589205478
"186","deep_features.4003",0.00123704921413164
"187","deep_features.2350",0.00123416600440608
"188","deep_features.2892",0.00121917911352311
"189","deep_features.2253",0.00121748561699054
"190","deep_features.1974",0.00121538594797233
"191","deep_features.127",0.00121003864674343
"192","deep_features.1409",0.00120806759361829
"193","deep_features.2748",0.00120550485560211
"194","deep_features.305",0.00120265964161344
"195","deep_features.1080",0.00120126855748771
"196","deep_features.1990",0.00119894285590857
"197","deep_features.3190",0.00118942210811644
"198","deep_features.41",0.00118920649687347
"199","deep_features.3954",0.00118911121625213
"200","deep_features.2561",0.00118458668131247
"201","deep_features.3611",0.0011785353261989
"202","deep_features.2726",0.00117243723697622
"203","deep_features.531",0.00117097902920625
"204","deep_features.204",0.00116724580241591
"205","deep_features.3695",0.00116717136443049
"206","deep_features.3452",0.00116336020430585
"207","deep_features.1992",0.00116144378218913
"208","deep_features.1043",0.00116039414186608
"209","deep_features.3858",0.00115353413131615
"210","deep_features.712",0.00114724554557948
"211","deep_features.1672",0.00114233697536376
"212","deep_features.2452",0.00113281538609875
"213","deep_features.1733",0.00112379039528949
"214","deep_features.1211",0.00111304543391634
"215","deep_features.785",0.0011117395327374
"216","deep_features.1504",0.00110718412221596
"217","deep_features.3503",0.00109837454846363
"218","deep_features.3669",0.00109222597086823
"219","deep_features.3668",0.00108332551804501
"220","deep_features.3978",0.00108185339360821
"221","deep_features.147",0.00107447607142397
"222","deep_features.2368",0.00107428376250687
"223","deep_features.1296",0.00107092414967463
"224","deep_features.1304",0.00106062245032246
"225","deep_features.3320",0.00105900287394585
"226","deep_features.720",0.00105067999516078
"227","deep_features.72",0.00105024404748097
"228","deep_features.211",0.00104878959397461
"229","deep_features.1934",0.00104804023001186
"230","deep_features.1764",0.00104786073737398
"231","deep_features.1730",0.00104090667604769
"232","deep_features.2711",0.00103995671789641
"233","deep_features.91",0.0010392037938561
"234","deep_features.1550",0.00102607824098064
"235","deep_features.3594",0.00102531340686266
"236","deep_features.3179",0.00101838064127307
"237","deep_features.1217",0.00101831908429556
"238","deep_features.3635",0.00101674158156288
"239","deep_features.535",0.00101580372767531
"240","deep_features.2751",0.00100950853961299
"241","deep_features.1464",0.00100906191170049
"242","deep_features.2072",0.00100896850821096
"243","deep_features.3511",0.00100630524655013
"244","deep_features.3039",0.000995120065404085
"245","deep_features.3491",0.000994703406871802
"246","deep_features.2415",0.000993598229338758
"247","deep_features.1339",0.000993015282819922
"248","deep_features.2397",0.000991695982803611
"249","deep_features.2234",0.000987121283134648
"250","deep_features.766",0.000985472967222796
"251","deep_features.2480",0.000975617895783122
"252","deep_features.3562",0.000974490257397087
"253","deep_features.2854",0.000973889122118337
"254","deep_features.3065",0.000972889775981951
"255","deep_features.1368",0.000971876448450042
"256","deep_features.2764",0.000965602879767827
"257","deep_features.2602",0.00095442585443584
"258","deep_features.3705",0.000951178869511974
"259","deep_features.2781",0.000950652172218641
"260","deep_features.361",0.000945803152391247
"261","deep_features.1707",0.000944107325626095
"262","deep_features.940",0.00094385993259978
"263","deep_features.2311",0.000934924073186975
"264","deep_features.1334",0.00093492070729546
"265","deep_features.3750",0.000932508916567967
"266","deep_features.390",0.000930240499873255
"267","deep_features.1272",0.000928214492096268
"268","deep_features.1314",0.000926772854869142
"269","deep_features.622",0.000926009638968233
"270","deep_features.1057",0.000923413565680322
"271","deep_features.3126",0.000922773140091009
"272","deep_features.1752",0.000921790817598243
"273","deep_features.2794",0.000915130236120545
"274","deep_features.248",0.000914045965952101
"275","deep_features.1458",0.000908945345734
"276","deep_features.1759",0.000905859664688098
"277","deep_features.102",0.00090374756776276
"278","deep_features.629",0.00090344515535592
"279","deep_features.1932",0.000903105523956372
"280","deep_features.2624",0.000899768307248445
"281","deep_features.3989",0.000898377805680866
